지역,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,
강남구,6.9,6.8,6.6,6.6,6.6,6.5,6.5,6.4,6.4,6.4,6.2,6.1,6,5.9,5.8,5.8,5.8,5.8,5.8,5.9,5.8,5.8,5.7,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.2,4.2,4.2,
송파구,5.8,5.7,5.7,5.6,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5.1,5,5,5.1,5,5,4.9,4.8,4.7,4.6,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.1,4,4,4,4,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.6,
강동구,6.9,6.8,6.9,6.8,6.9,6.7,6.7,6.7,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.1,6.2,6.1,6.1,6.1,6,6,5.7,5.7,5.6,5.6,5.8,5.7,5.8,5.8,5.5,5.4,5.2,5.1,5,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.3,4.3,4.4,
부산,6.7,6.7,6.5,6.5,6.5,6.4,6.3,6.2,6.2,6.1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.8,5.7,5.6,5.5,5.5,5.5,5.3,5.3,5.3,5.3,5.2,5.1,5.1,5.1,5.1,5.1,5,5,4.9,4.8,4.8,4.7,4.7,
영도구,7.6,7.6,7.5,7.3,7.2,7.1,7.2,6.9,6.9,6.9,6.5,6.5,6.4,6.7,6.6,6.8,7,7.1,7.2,7,7.1,6.8,6.8,6.9,6.8,6.8,6.8,6.7,6.7,6.5,6.4,6.4,6.2,6.3,6.3,6.5,6.8,6.7,6.7,6.7,6.5,6.4,6.5,6.5,6.6,6.6,6.5,6.6,6.5,6.5,
부산진구,7.6,8,8,8,8,7.5,7.1,7,7,7.1,7,6.7,6.8,6.7,6.7,6.6,6.6,6.7,6.7,6.7,6.3,6.3,6.3,6.5,6.5,6.5,6.5,6.5,6.6,6.3,6.2,6.1,6.1,6,6,6,6,5.9,5.8,5.8,5.8,5.9,5.8,5.7,5.6,5.5,5.6,5.5,5.4,5.2,
동래구,6.3,6.2,6.2,6,6,6,6,6.2,6.2,6.2,6.2,6,6,6,6,6.1,6,6.1,6.1,6,6,6,6,6.1,6,6,6,6,6,5.7,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5.2,5.1,5.1,5.1,5.1,5.2,5.3,5.4,5.4,5.1,4.8,4.8,4.8,
남구,6,6,6,6,6,6,5.8,5.6,5.5,5.4,5.4,5.5,5.6,5.5,5.6,5.7,5.8,5.7,5.6,5.7,5.7,5.5,5.5,5.5,5.3,5.3,5.1,5.1,5.1,5.1,5,4.9,4.8,4.8,4.8,4.6,4.6,4.5,4.5,4.5,4.7,4.7,4.5,4.4,4.3,4.2,4.3,4.2,4.2,4.3,
북구,6.7,6.7,6.7,6.6,6.5,6.4,6.4,6.3,6.3,6.4,6.4,6.3,6.4,6.5,6.6,6.5,6.6,7,6.8,6.6,6,6,5.9,5.8,5.8,5.8,5.7,5.8,6,6,5.7,5.7,5.4,5.3,5.3,5.3,5.4,5.3,5.2,5.2,5.2,5.1,5.3,5.4,5.5,5.2,5,5.1,5,4.8,
해운대구,6.5,6.3,6.3,6.3,6.3,6.2,6.1,6.1,6,6,6,6,6,6,6,5.9,5.9,5.9,5.8,5.8,5.7,5.8,5.7,5.6,5.5,5.5,5.4,5.3,5.3,5.2,5.1,5.1,5.1,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,
사하구,6.9,6.9,6.9,6.5,6.5,6.4,6.5,6.4,6.3,6.7,6.5,6.4,6.2,6.4,6.5,6,6,6,6,6,5.9,6,6,6,6,6,6,6,5.8,5.5,5.5,5.6,5.6,5.6,5.6,5.7,5.8,5.7,6,6,6,5.9,5.7,6,6,5.5,5.5,5.5,5.4,5.3,
금정구,6.5,6.3,6,6,6,6,6,6,6.2,6.3,6.2,6.4,6.1,6,6,6,6.1,6.5,6.3,6.2,6.1,6,5.9,5.8,5.8,5.9,6,6,6,6,6,6,5.7,5.7,5.2,5.1,5.4,5.4,5.1,5.3,4.9,5.4,5.1,4.6,4.4,4.3,4.3,4.2,4.2,4.4,
연제구,6.5,6.4,6.2,6.2,6.2,6,6,6,6.2,6.3,6.1,6.2,6,6,6,6,6,6,6,6,6,6,5.7,5.8,5.6,5.9,6,6,5.9,5.6,5.3,5.3,5.1,5.1,5.1,5.1,5.1,5.2,5,5,4.8,5,5,4.8,4.8,4.6,4.6,4.5,4.5,4.5,
수영구,7.5,7.5,7.5,7.1,7.4,7.2,7.3,7.1,6.9,7,6.9,6.9,6.6,6.5,6.6,6.6,6.7,6.6,6.5,6.5,6.3,6.4,6.5,6.5,6.4,6.5,6.5,6,6,6,6,5.7,5.9,5.7,5.6,5.5,5.5,5.6,5.5,5.5,5.4,5.6,5.2,5.1,5.1,5.2,5.1,4.9,4.8,4.8,
사상구,6.1,6.4,6.2,6.3,6.2,6.2,6.1,6.3,6.2,6.3,6.3,6.1,6.2,6,6.1,6.1,6,6.7,6.5,6.3,6.3,6.2,6,6,6,5.9,6,5.8,5.8,5.8,6,6,5.9,6,6,6,6,6,5.9,5.8,5.8,5.6,5.7,5.7,5.6,5.6,5.6,5.6,5.5,5.5,
기장군,6.8,6.4,6.4,6.4,6.4,6.4,6,6,6,6,5.9,5.6,5.5,5.5,5.4,5.3,5.3,5.3,5.5,5.5,5.6,5.6,5.5,5.6,5.8,5.7,5.7,5.6,5.6,5.5,5.3,5.2,5.1,5.1,5.1,4.9,4.9,4.9,4.8,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,
대구,6.6,6.5,6.4,6.4,6.4,6.3,6.3,6.2,6.1,6,6,6,6,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.4,5.3,5.2,5.2,5.1,5,5,4.9,4.8,4.8,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.4,
동구,7,6.8,6.6,6.6,6.5,6.6,6.5,6.5,6.4,6.2,6,6,6,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.6,5.5,5.3,5.3,5.3,5.2,5.1,5,4.9,4.9,4.9,5,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.5,4.4,4.4,4.5,4.5,4.5,4.4,
서구,8,7.1,7.1,6.7,6.5,6.2,6.3,6.5,6.7,7,6.5,6.5,6.2,6,5.9,5.6,6,5.4,5.5,5.5,5.6,5.7,5.6,5.5,5.3,5.5,5.7,5.5,5.2,5.2,5,4.9,4.7,4.7,4.7,4.7,4.6,4.6,4.7,4.7,4.9,4.8,4.8,4.9,4.8,4.7,4.4,4.5,4.5,4.7,
북구,6.7,6.9,6.7,6.7,6.5,6.5,6.4,6.3,6.2,6,6,6,6,5.8,5.9,5.8,5.8,5.8,5.7,5.6,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.2,5.2,5.1,5.1,5,5,4.9,4.9,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,
수성구,6.5,6.3,6.3,6.3,6.2,6.2,6.2,6.1,6,6,6,5.9,5.8,5.7,5.8,5.7,5.7,5.6,5.6,5.6,5.5,5.5,5.4,5.3,5.3,5.1,5.1,5.1,5,5,4.9,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.4,4.4,4.4,4.3,4.3,4.2,4.2,
달서구,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6,5.9,5.8,5.7,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.3,5.3,5.4,5.3,5.3,5.3,5.2,5.1,5,5,5,4.9,4.8,4.8,4.8,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.6,4.7,4.7,4.6,4.6,4.5,4.4,4.3,4.1,
달성군,6.9,6.3,6.5,6.5,6.5,6.6,6.7,6.9,6.7,6.6,6.5,6.9,7,6.7,6.4,6,6,5.9,5.5,5.7,5.7,5.8,5.9,6,5.6,5.5,5.7,5.6,5.5,5.5,5.5,5.5,5.4,5.3,5.3,5.3,5.1,4.9,5,4.9,4.9,5.1,5,5,5,5,4.9,4.8,4.9,4.6,
인천,8.3,8.3,8.3,8.2,8,8,8,7.8,7.8,7.7,7.5,7.5,7.4,7.2,7.2,7.1,7,7,6.9,6.9,6.9,6.7,6.6,6.5,6.5,6.3,6.2,6,6,6,6,5.8,5.6,5.6,5.4,5.3,5.2,5.1,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.7,
중구,9.3,9.4,9.4,9.2,9.2,9.4,9.4,8.8,8.6,8.3,8.3,8.5,8.8,9,9,9,8.5,8.7,8.5,8.1,8,7.7,7.4,7.1,6.7,6.6,6.4,6.2,6.1,6,6,6,5.8,5.7,5.5,5.3,5,4.8,4.7,4.6,4.7,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,
동구,7.6,7.6,7.5,7.5,7.7,8,7.6,7.6,7.2,7.2,7.2,7.1,6.8,7.1,7.6,7.5,7,6.9,6.6,6.5,6.2,6.4,6.7,6.8,6.9,6.6,6.7,6.7,6.6,6.7,6.5,7,6.3,5.6,5.5,5.7,5.5,5.4,6,6.4,5.8,5.5,5.4,5.3,5,4.9,4.8,4.7,4.7,4.7,
남구,8.2,8.1,8.2,8.2,8,8,8,7.8,7.9,8,8.1,7.6,7.7,7.6,7.7,7.7,7.5,7.7,7.3,7.3,7.3,7.3,6.8,6.9,6.8,6.9,6.9,6.9,7.2,7,6.9,6.8,6.8,6.5,6.4,6.3,6,6,6.1,6.3,6.4,6.4,6.2,5.8,5.4,5.4,5.2,5.1,5.2,5.3,
연수구,7.8,7.7,7.7,7.6,7.6,7.5,7.5,7.4,7.2,7,6.9,6.7,6.6,6.5,6.5,6.4,6.3,6.4,6.4,6.3,6.1,6,6,5.9,5.8,5.6,5.6,5.5,5.5,5.3,5.2,5.1,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.7,4.6,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,
남동구,8,7.8,7.7,7.6,7.5,7.3,7.3,7.3,7.2,7.2,7.2,7.4,7.2,7,6.9,6.7,6.7,6.5,6.6,6.5,6.5,6.3,6.4,6.2,6,6,5.9,5.7,5.6,5.5,5.5,5.5,5.3,5.3,5.2,5.2,5.1,5,5,5,5,4.9,5,5,4.9,4.9,4.8,4.9,4.8,4.7,
부평구,7.8,7.8,7.8,7.7,7.8,7.7,7.6,7.5,7.4,7.2,7.2,7.2,7.1,7,7,6.8,6.9,6.7,6.7,6.6,6.5,6.5,6.4,6.4,6.3,6,6,5.9,5.9,5.8,5.8,5.7,5.6,5.5,5.4,5.3,5.1,5,4.9,4.9,4.8,4.8,4.8,4.9,4.9,4.8,4.7,4.6,4.5,4.5,
계양구,8.8,8.8,8.8,8.7,8.6,8.7,8.6,8.6,8.5,8.3,8.3,8.1,8.2,8.1,8,8,8,8,7.8,7.8,7.8,7.8,7.7,7.6,7.5,7.4,7.3,7.2,7.1,6.9,6.9,6.9,6.8,6.7,6.5,6.5,6.4,6.2,6.1,6,6,5.8,5.8,5.7,5.7,5.7,5.6,5.5,5.4,5.3,
