,location,location_detail,price
서울특별시,성북구,보문동2가,2575
서울특별시,성북구,보문동3가,2299
서울특별시,성북구,정릉동,1846
서울특별시,성북구,길음동,2403
서울특별시,성북구,종암동,2031
서울특별시,성북구,하월곡동,2332
서울특별시,성북구,상월곡동,2167
서울특별시,성북구,장위동,2399
서울특별시,성북구,석관동,2092
서울특별시,강북구,미아동,1839
서울특별시,강북구,번동,1687
서울특별시,강북구,수유동,1572
서울특별시,강북구,우이동,1476
서울특별시,도봉구,쌍문동,1528
서울특별시,도봉구,방학동,1712
서울특별시,도봉구,창동,1770
서울특별시,도봉구,도봉동,1784
서울특별시,노원구,월계동,1661
서울특별시,노원구,공릉동,1774
서울특별시,노원구,하계동,1634
서울특별시,노원구,상계동,1975
서울특별시,노원구,중계동,1669
서울특별시,은평구,수색동,2200
서울특별시,은평구,녹번동,1887
서울특별시,은평구,불광동,1957
서울특별시,은평구,갈현동,1802
서울특별시,은평구,구산동,1922
서울특별시,은평구,대조동,2208
서울특별시,은평구,응암동,1941
서울특별시,은평구,역촌동,2018
서울특별시,은평구,신사동,1823
서울특별시,은평구,증산동,2281
서울특별시,은평구,진관내동,1873
서울특별시,은평구,구파발동,0
서울특별시,은평구,진관외동,0
서울특별시,서대문구,충정로2가,2519
서울특별시,서대문구,충정로3가,0
서울특별시,서대문구,합동,2700
서울특별시,서대문구,미근동,2896
서울특별시,서대문구,냉천동,3034
서울특별시,서대문구,천연동,2518
서울특별시,서대문구,옥천동,2683
서울특별시,서대문구,영천동,2680
서울특별시,서대문구,현저동,1900
서울특별시,서대문구,북아현동,2524
서울특별시,서대문구,홍제동,2073
서울특별시,서대문구,대현동,3017
서울특별시,서대문구,대신동,2505
서울특별시,서대문구,신촌동,1985
서울특별시,서대문구,봉원동,1630
서울특별시,서대문구,창천동,2549
서울특별시,서대문구,연희동,1890
서울특별시,서대문구,홍은동,1693
서울특별시,서대문구,북가좌동,2068
서울특별시,서대문구,남가좌동,2168
서울특별시,마포구,아현동,3070
서울특별시,마포구,공덕동,2644
서울특별시,마포구,신공덕동,2319
서울특별시,마포구,도화동,2650
서울특별시,마포구,용강동,2413
서울특별시,마포구,토정동,2710
서울특별시,마포구,마포동,2737
서울특별시,마포구,대흥동,2606
서울특별시,마포구,염리동,3104
서울특별시,마포구,노고산동,2997
서울특별시,마포구,신수동,2424
서울특별시,마포구,현석동,2353
서울특별시,마포구,구수동,2250
서울특별시,마포구,창전동,2463
서울특별시,마포구,상수동,2742
서울특별시,마포구,하중동,0
서울특별시,마포구,신정동,3220
서울특별시,마포구,당인동,2706
서울특별시,마포구,서교동,2888
서울특별시,마포구,동교동,2998
서울특별시,마포구,합정동,2648
서울특별시,마포구,망원동,2574
서울특별시,마포구,연남동,2392
서울특별시,마포구,성산동,2372
서울특별시,마포구,중동,2328
서울특별시,마포구,상암동,2832
서울특별시,양천구,목동,2205
서울특별시,양천구,신월동,1905
서울특별시,강서구,염창동,2796
서울특별시,강서구,등촌동,2335
서울특별시,강서구,화곡동,1823
서울특별시,강서구,가양동,2211
서울특별시,강서구,마곡동,2270
서울특별시,강서구,내발산동,2054
서울특별시,강서구,외발산동,1880
서울특별시,강서구,공항동,2102
서울특별시,강서구,방화동,2195
서울특별시,강서구,개화동,1584
서울특별시,강서구,과해동,0
서울특별시,강서구,오곡동,327
서울특별시,강서구,오쇠동,0
서울특별시,구로구,신도림동,2810
서울특별시,구로구,구로동,2077
서울특별시,구로구,가리봉동,3067
서울특별시,구로구,고척동,1715
서울특별시,구로구,개봉동,1950
서울특별시,구로구,오류동,1795
서울특별시,구로구,궁동,1714
서울특별시,구로구,온수동,1806
서울특별시,구로구,천왕동,2117
서울특별시,구로구,항동,1664
서울특별시,금천구,가산동,1775
서울특별시,금천구,독산동,1750
서울특별시,금천구,시흥동,1753
서울특별시,영등포구,영등포동,1988
서울특별시,영등포구,영등포동1가,2194
서울특별시,영등포구,영등포동2가,2570
서울특별시,영등포구,영등포동3가,0
서울특별시,영등포구,영등포동4가,3370
서울특별시,영등포구,영등포동5가,2610
서울특별시,영등포구,영등포동6가,2460
서울특별시,영등포구,영등포동7가,2621
서울특별시,영등포구,영등포동8가,2281
서울특별시,영등포구,여의도동,5125
서울특별시,영등포구,당산동1가,2593
서울특별시,영등포구,당산동2가,2728
서울특별시,영등포구,당산동3가,2924
서울특별시,영등포구,당산동4가,2855
서울특별시,영등포구,당산동5가,2725
서울특별시,영등포구,당산동6가,2285
서울특별시,영등포구,당산동,2097
서울특별시,영등포구,도림동,2078
서울특별시,영등포구,문래동1가,2160
서울특별시,영등포구,문래동2가,0
서울특별시,영등포구,문래동3가,2580
서울특별시,영등포구,문래동4가,0
서울특별시,영등포구,문래동5가,0
서울특별시,영등포구,문래동6가,0
서울특별시,영등포구,양평동1가,2741
서울특별시,영등포구,양평동2가,2719
서울특별시,영등포구,양평동3가,2324
서울특별시,영등포구,양평동4가,2498
서울특별시,영등포구,양평동5가,2295
서울특별시,영등포구,양평동6가,2035
서울특별시,영등포구,신길동,2535
서울특별시,영등포구,대림동,1889
서울특별시,동작구,노량진동,3075
서울특별시,동작구,상도동,2022
서울특별시,동작구,상도1동,2331
서울특별시,동작구,본동,2311
서울특별시,동작구,흑석동,2896
서울특별시,동작구,동작동,2426
서울특별시,동작구,사당동,2411
서울특별시,동작구,대방동,2314
서울특별시,동작구,신대방동,2084
서울특별시,관악구,봉천동,2235
서울특별시,관악구,신림동,2418
서울특별시,관악구,남현동,2623
서울특별시,서초구,방배동,4021
서울특별시,서초구,양재동,3898
서울특별시,서초구,우면동,2619
서울특별시,서초구,원지동,2345
서울특별시,서초구,잠원동,4152
서울특별시,서초구,반포동,4013
서울특별시,서초구,서초동,4728
서울특별시,서초구,내곡동,2170
서울특별시,서초구,염곡동,2562
서울특별시,서초구,신원동,2687
서울특별시,강남구,역삼동,4424
서울특별시,강남구,포이동,0
서울특별시,강남구,개포동,3756
서울특별시,강남구,청담동,5098
서울특별시,강남구,삼성동,4593
서울특별시,강남구,대치동,4713
서울특별시,강남구,논현동,4200
서울특별시,강남구,압구정동,9600
서울특별시,강남구,세곡동,2238
서울특별시,강남구,자곡동,2415
서울특별시,강남구,율현동,2452
서울특별시,강남구,일원동,3883
서울특별시,강남구,수서동,3523
서울특별시,강남구,도곡동,4619
서울특별시,송파구,잠실동,4828
서울특별시,송파구,신천동,7830
서울특별시,송파구,풍납동,2527
서울특별시,송파구,송파동,3647
서울특별시,송파구,석촌동,4039
서울특별시,송파구,삼전동,4031
서울특별시,송파구,가락동,3509
서울특별시,송파구,문정동,3253
서울특별시,송파구,장지동,3090
서울특별시,송파구,방이동,3907
서울특별시,송파구,오금동,3229
서울특별시,송파구,거여동,3285
서울특별시,송파구,마천동,3217
서울특별시,강동구,명일동,3100
서울특별시,강동구,고덕동,3243
서울특별시,강동구,상일동,3416
서울특별시,강동구,하일동,0
서울특별시,강동구,길동,2778
서울특별시,강동구,둔촌동,2734
서울특별시,강동구,암사동,2555
