,,location,표준공시지가,토지거래현황,주택거래현황,date,gdp,연평균임금,소비자물가(식료품),소비자물가(주거비),대미환률,코스피(한국주가),니케이(일본주가),다우존스(미국주가),상하이(중국주가),FTSE(영국주가),FTSE_EURO(유로),DAX(독일주가),원유(두바이),원유(Brent),원유(WTI),주택자금대출규모,한은기준금리,"소비자물가:에너지(연료,전기,가솔린)"
서울특별시,종로구,재동,3893 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,계동,2885 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,원서동,2673 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,묘동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,봉익동,2600 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,돈의동,3307 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,장사동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,관수동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,종로3가,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,인의동,2240 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,예지동,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,원남동,2159 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,연지동,2233 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,종로4가,0 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,효제동,2720 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,종로5가,4570 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,종로6가,2809 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
서울특별시,종로구,이화동,2264 ,3767,1823,2010,100,30327188,95.9 (2010=100),99.1 (2010=100),1210.3,2051,10228.92,11577.5,304.35,5899.9,2325.99,6914.19,88.8,94.75,91.38,"1,181,499",2.5,98.32 (2010=100)
